상품명,별점,리뷰 제목,리뷰 내용,카테고리1,카테고리2
"로벡틴 아쿠아 히알루로닉 에센스 대용량, 250ml, 1개",5,이걸로 속건조 해결,"제품명 : 로벡틴 아쿠아 히알루로닉 에센스 대용량
용량 : 250ml



N년째, 최소 3년째 사용중입니다
수분 부족형 지성 타입으로, 얼굴 겉에는 광이 나듯 나름 예쁘게 유분이 있지만 속으로는 사막 그 잡채인 정말 눈물나는 피부 타입입니다
저는 스킨케어에서 가장 중요한게 바로 '속건조'를 잡는건데요
진짜 내로라 하는 좋은 스킨케어들 많이 써봤는데 기능은 좋은걸 알겠는데, 속건조를 잘 못잡아주더라구요 ㅠㅠㅠㅠㅠㅠ
나름 수분팡팡 기능이런거를 써봐도 속건조랑은 상관이 없는건지 ㅠㅠㅠ
겉에만 수분이 팡팡거리고 속은 메말라지는 스킨케어들을 정말 많이 경험해보았습니다


그러다가 발견한 속건조 잡는 사막의 오아시스템입니다!!!!
아니 이거 그냥 맨얼굴에 기본 스킨 스는 거처럼 챱챱해서 발라주면?
진짜 신기하게도 속건조가 잡혀요....!!
진짜루......!!!!!


속건조에 나름 잘 먹는 방법으로는 팩과 7스킨법이 있었는데요
하지만 바쁜 아침에 어찌 팩과 스킨 여러번 챱챱을 합니까 ㅠㅠㅠㅠ
화장하는것만도 정말 기적이다 라고 생각하는데....
출근하기전엔 거의 뭐 아빠스킨법으로 우다다다 하고 나가곤 하는데요
그래도 속건조를 잡아야하긴 하니까, 이 제품 알기전에는 나름 수분 촉촉한 제품으로 3스킨은 하고 갔습니다


그러다가 팩을 꺼내고 붙이는 거 조차 너무 귀찮아서, 걍 화장솜에다가 스킨 묻혀서 써야지~ 하다가, 쿠팡에서 나름 용량도 크고 가격도 착한 스킨 찾아서 썼는데
세상에
이게 한번 사용만으로도 속건조가 잡혀버린다 이 말이죠???
아니 세상에....


나름 유명하다는 스킨들 정말 많이 썼는데요
유명한데에는 진짜 이유가 있었긴 한데, 저한테는 꼭 성분/마무리감/가격 이 3중 하나에는 꼭 걸리더라구요 ㅠㅠㅠㅠ
드럭스토어에서 진짜 유명한 어떤 스킨들은 너무 끈적인다거나, 아니면 한번 썼을때는 괜찮은데 3스킨하면 꼭 트러블이 올라오거나, 진짜 괜찮다 하면 가격이 사악하거나.....
갈수록 피부타입이 건성이 되가는데 어쩌지??????하고있던 전에게 이 제품은 그저 빛이었습니다


저는 이거를 스킨케어 맨 처음 시작시에 사용해주고 있습니당
그냥 적당히 덜어서 한번 얼굴에 찹찹하고, 그 다음에 크림이든 선크림이든 바르곤 하는데요
어떤 스킨케어를 그 후에 하든 일단 얘를 먼저 발라주면, 속건조가 없드라구요??!!!
신기방기
뭔가 얘가 수분이 안날라가게 꽉 잡아주는거 같아요 ㄷㄷㄷㄷ


가격도 착하고 대용량이고 기능도 좋아서 몇년째 애용하고 있습니다
단종되지 말아주세여
한번 사면 최소 반년은 씁니당
1년에 한번씩은 사는듯요~~~!
좋은걸 널리널리!
넘좋네영",뷰티,클린/비건뷰티
"요이치 블루투스 셀카봉 리모컨, 화이트(WS-SQB641)",5,휴대하기 좋고 성능 좋은 셀카봉 리모컨,"제품명 : 요이치 블루투스 셀카봉 리모컨
색상 : 화이트
타입 : 블루투스 충전식
용량 : 65mAh (완충 후 50,000회 이상 촬영 가능)
충전타입 : 마이크로 5핀

✔ 구매이유
두번째 구매입니다
첫번째는 사무실에 비치하는 용도로 샀었는데, 너무 잘 쓰고 있어서 개인용으로도 하나 더 구매하게 되었습니다
사이즈도 작아 휴대하기도 좋고 색상도 깔끔하고, 무엇보다 셀카 리모컨 용도로도 아주 작동이 잘 되어 잘 쓰고 있습니다


✔ 사용법
셀카봉 리모컨을 충전후 스위치를 눌러주고, 핸드폰 블루투스 설정에서 한번만 연결해주면,
그 후로는 따로 연결할 필요 없이 바로 연결됩니당
사용할 때에는 그냥 리모컨만 꺼내서 불 들어오는거 확인하고 몇번 딸깍 거리면 핸드폰이랑 자동 연결되어서, 바로 사용하시면 됩니다


✔ 용도
원래 첫번째로 요걸 구매했을 때는 사무실 작업 용으로 구매했는데요
써보니까 너무 편리하고 휴대성도 좋겠다 싶어서 개인용으로도 구매했습니다
저는 이걸 파우치에 넣어놓고 셀카용으로 쓰고 있어요
뭔가 사진 잘 나오는 곳에 있을때 친구에게 계속 핸드폰으로 찍어달라 부탁하기 좀 그럴때나, 혼자 있을 때에
이 셀카봉 리모컨으로 혼자 찰칵찰칵 하면 되니 정말 좋네요...
그리고 저는 핸드폰이 플립이어서, 책상위에 플립을 반쯤 접어 세워두고
저 멀리서 셀카봉 리모컨으로 찍으면 사진이 정말 잘 나옵니다
제가 화면으로 보면서 원하는 구도 잡고, 셀카봉 리모컨으로 사진 찍으면 원하는 결과물이 잘 나오곤 합니다
매우 굿


✔ 사이즈 및 충전
사이즈는 한 백원짜리 동전 두개 좀 안되는 정도의 길이 같아요!
생각보다 작아요 그래서 휴대하기 좋습니당
그리고 한번 충전하면 5만회 정도 사용가능하다고 하는데요
그래서 한번 충전하고 그냥 파우치에 넣고 주구장창 사용하곤 합니다
따로 막 충전이 자주 필요한 것도 아니어서 휴대용으로도 딱인것 같아요
그리고 충전은 마이크로 5핀 타입으로 됩니다!! 참고바래여*.*


✔ 총평
혼자서도 멋진 사진을 찍을 수 있는 셀카봉 리모컨
사이즈도 콤팩트하고 한번 충전하면 몇일간 충전 안해도 될 정도로 배터리도 넉넉
밝은 화이트 색상으로 귀여븜",가전디지털,1인방송 전문관
"헤라 실키 스테이 24아워 롱웨어 파운데이션 30g SPF20, 19N1 라이트 바닐라, 1개",5,커버력/다크닝/예쁜 무너짐 모두 합격인 인생 파데,"제품명 : 헤라 실키 스테이 24아워 롱웨어 파운데이션 30g SPF20
색상 : 19N1 라이트 바닐라, 1개


✔ 구매이유
헤라파운데이션 외길 인생 3년차입니다
이거 리뉴얼 하기 전부터 잘 쓰고 있었어요
기존에는 21N 컬러를 썼는데요
좀 더 화사하게 피부 표현을 하고 싶어서 한단계 더 밝은 컬러로 구입하게 되었습니당


✔ 커버력
커버력 나름 좋은 편이에요
생활 잡티 및 흔적같은 부분들은 다 가려집니다
그렇다고 막 점같은 느낌의 진한 잡티들은 다 가려지진 않아요

저는 파운데이션으로는 기본 커버만 하고, 정말 확실하게 커버하고 싶은 곳은 따로 단지형 컨실러로 커버하는 편이긴 합니다
파운데이션으로 모든 것을 커버하려고 하면 피부 화장이 너무 두꺼워지고, 지저분하게 무너져서 별로더라구요

그렇다고 파운데이션이 커버력이 없으면 안되고, 기본적으로는 좀 있어야 좋더라구요
이 파운데이션은 그래도 중상의 커버력을 갖고 있어서 좋았습니다


✔ 발림성 및 사용법
요거는 바르면 적당한 세미매트로 피부표현이 됩니다
너무 글로우하지도 않고 그렇다고 너무 매트하지도 않은 정말 말 그대로의 세미매트에요!

그리고 발림성도 적당히 묽으니 잘 발려요 (막 흘러내릴 정도의 묽음은 아니고, 짜고 나면 적당히 형태를 고정하는 정도의 묽음)
저는 이 파운데이션을 웨지 스펀지로 바릅니다
왼쪽 오른쪽 볼에 각각 한번씩만 펌핑하고 스펀지로 슥슥 펴바릅니다
두번 펌핑으로도 얼굴 전체가 커버 가능하더라구요
만약 더 커버하고 싶은곳이 있으면 한번 더 커버하곤 합니다
그러면 좀 더 커버가 되고, 피부표현도 더 발랐다고 막 두꺼워지는 느낌이 안들어요!


✔ 다크닝/마무리감
제가 이 파운데이션만 사용하는 이유가 바로 '피부표현 및 예쁜 무너짐' 때문인데요
출근하기전에 바르고 출근하고 후에 봐도 다크닝이 없더라구요....!
그리고 무너지도라도 예쁘게 무너져요!!
아무도 무너진 줄 모르고 기름이랑 섞여도 오히려 뭔가 광나는 표현으로 연출되지 막 지저분한 느낌은 안듭니다

무너짐이 예뻐가지구 제가 이 파운데이션만 몇년째 주구장창 쓰는 이유이기도 합니다
몇년째 얘만 사용하다가 좀 질려서 다른 파운데이션을 써봤는데
커버력/무너짐 둘 중 하나에서 꼭 걸리더라구요 ㅠㅠㅠ
다시 보니 선녀같은 파운데이션입니다


✔ 총평
커버력 높은, 무너짐 없고, 다크닝 없는 파운데이션 찾으시는 분들에게 완전 추천!!
색상도 다양하니 선택의 폭도 넓어 좋아용
몇번의 펌핑으로 얼굴 전체가 커버 가능하여, 한번 사면 최소 반년이상은 잘 사용하곤 합니다
파운데이션 유목민들에게 강력 추천

쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",뷰티,메이크업
"롬앤 한올 픽스 마스카라 7g, V01 볼륨 블랙, 1개",5,"자연스럽지만 뚜렷한, 그리고 안번지는 마스카라","제품명 : 롬앤 한올 픽스 마스카라 7g
타입 : 볼륨 블랙


✔ 구매이유
N번째 구매입니다
눈에 어떤 아이라이너, 마스카를 다 올려도 다 번지는 눈을 가진 사람으로서,
제 나름의 덜 번지는 마스카라 정착템입니다 드디어 ㅠㅠㅠ
마스카라는 6개월에 한번씩 사고 있는데요
2년째 사용중이고 지금이 한 4번째 구매입니당


✔장점
와 진짜 이 마스카라가 로드샵 마스카라 중에서는 제일 저한테 덜번지는거 같아요
제가 정말 드럭스토어에서 키*미, 페리**, 클**, 에** 등등 부터
백화점 마스카라까지 다 써봤는데, 제 눈에는 모든 마스카라들이 번지더라구요....
그런데 그나마 괜찮은게 롬앤제품이라서 이 친구만 주구장창 쓰고 있습니다

사실 얘도 저한테는 시간이 지나면 좀 번져요
하지만 마스카라 픽서+롬앤 마스카라 하면 안번져요!!!!
물론 한 15시간 이상 지나면 번지고, 진짜 얘 조합이면 12시간까지는 끄떡 없습니다
무한 감사....


✔특징 및 '롱 블랙'과 차이
저는 속눈썹이 뚜렷해보이는게 좋더라구요
그래서 '롱 블랙'이 아닌 '볼륨 블랙'을 골랐습니다
'롱 블랙'도 좋긴한데 뭔가 롱 블랙은 좀 한듯안한듯 꾸안꾸처럼 발리고
길이가 은은하게 길어지는 타입이더라구요
한올한올 가늘게 예뻐지는 느낌
하지만 저는 속눈썹이 한올한올보단 좀 뚜렷하고 볼륨있는걸 좋아해서 '볼륨 블랙'을 샀습니다

롬앤 마스카라는 막 엄청 볼륨감있고 뚜렷하고 그런 타입은 아니에요
이름에 '한올'있는것부터 여리여기각이었습니다
하지만 자연스러운 마스카라 느낌을 내주면서도, 좀 몇 번 바르면 또렷해보이는 느낌도 줘서 잘 사용하고 있습니다

지울때도 립앤아이리무버로 세안하면 잘 지워져용


✔ 주의사항
저는 마스카라는 특히 다른 것들에 비해서 유통기한내에만 사용하려고해요
마스카라는 유통기한이 개봉 후 6개월이내라고 하더라구요
그래서 반년에 한번씩 바꿔주고 있습니다
그래서 N번째 주문이 되는거에요!
사실 저는 매일 마스카라를 사용해도 다 사용하지는 못하지만, 그래도 눈에 닿는거다보니 용량이 남아도 버리고 새로 사는편입니다
마스카라는 아무래도 나름 눈에 가까이 닿는편이다보니 주의하고 있어요


✔총평
컬링+번짐+볼륨+세안+가격 면에서 아주 마음에 든 마스카라",뷰티,메이크업
"가그린 제로 750ml + 250ml 구강청결제 세트, 1세트",5,부담스럽지 않은 데일리 가그린,"제품명 : 가그린 제로 750ml + 250ml 구강청결제 세트


✔구매이유
충치치료 300만원......
아직 그 정도 비용이 나온적은 없지만, 이빨을 잘 관리하지 않으면 저 금액의 비용이 병원에서 청구되지 않을까라는 생각에 충격먹고 미리미리 치아를 잘 관리하게 되었습니다
그러고 여기저기 알아본 결과, 치아는 양치질로는 한계가 있고, 그 부족한 한계를 나름 구강세정제가 채워준다고 하지 머에요???
그래서 바로 샀고, 한 1~2년째 매일 양치 마지막 루틴에 꼭 구강청결제를 사용하고 있는 중입니다


✔ 장점
① 마일드한 쿨링감
구강청결하는거 참 좋은데 매번 그 특유의 화한 민트약때문에 사용하기 전에 좀 두렵더라구요 ㅠㅠ
그런데 이 가그린은 사용하면 쿨링감이 정말 약해서 매일 사용하기 부담스럽지 않아요!
쿨링감이 있긴 한데 정말 미약하게 있습니다
데일리 가그린으로 굿!

②충치예방
양치질로만은 치아 모든곳을 다 닿기가 어려운데
가그린은 뭔가 양치질의 한계를 채워주는 느낌이 들어서 좋습니다
덕분에 충치예방도 되구여
글고 이거하면 입냄새제거도 되는것같아 기분이 좋습니다

③투명한 용기
얼마나 사용했는지 투명해서 바로 보여서 좋아요

⑤대용량
750미리 꽤 오래씁니다
최소 한달이상 혹은 한달은 쓰는거 같아요
사놓고 그냥 마구마구 써도 살 때가 늦게 오는게 좋은듯용


✔사용법
저는 용기에다가 가그린을 덜어서 사용하고 있습니다
용기의 돌리는 부분이 끝나는 지점까지 가그린을 덜어서 사용하고 있습니다
나름의 꿀팁....


✔총평
충치예방 미리미리 합시다
양치질 후 가그린 사용 생활화합시다 ㅠㅠㅠㅠ
치과 갈 일을 줄여보아요",생활용품,구강/면도
"해피데이 포켓형 대용량 핫팩 150g, 50개",5,대용량으로 따뜻함이 오래가는 핫팩,"제품명 : 해피데이 포켓형 대용량 핫팩 150g
개수 : 50개


✔구매이유
어유 이렇게 추울 날이 올 줄 알았습니다
저는 그래서 미리미리 가을에 대용량 핫팩을 사다놨다구요
이거 한 두번 사면 4인가족이 따뜻하게 겨울을 날 수 있습니다
아 맞다 핫팩!!! 하기 전에 미리 사놓으면 매우 좋으니 추천드립니다

확실히 대용량이다보니까 화력도 쎄요
진짜 엥간한 쪼꼬미 핫팩들로는 체감온도 영하 20도의 날씨를 버틸 수 없습니다
핫팩은 무조건.큰.사이즈로.!!


✔발열
와 대용량은 대용량이에요
점심때 뜯으면 한 8시간 정도는 빵빵히 갑니다
막 아침 출근전에 뜯어서 퇴근할때까지 열기가 빵빵하다!!
솔직히 이건 아닙니다
그래도 열기가 살아있긴 하지만요
그래도 다른 쪼꼬미 핫팩들 보다는 확실히 오래갑니다
커가지구 두손으로 잡고 있으면 최고에요
진짜 추운날엔 두개 뜯어서 패딩 주머니에 왼쪽에 하나, 오른쪽에 하나 넣어서 댕깁니다


✔주의사항
아 핫팩이랑 카드 같이 넣지 마세요 ^^....
곧 카드가 흐물흐물.....
아, 틴트도 혹시 모르니 조심 ^^....
립밤두...
그만큼 화력이 좋다는 거죠


✔꿀팁
① 핫팩 오래보관하는법
: 지퍼백에 핫팩을 넣어서 보관해보세요
공기와의 접촉을 차단시켜줘서 더 오래 사용이 가능하답니다

② 핫팩 빨리 뜨거워지게 하는법
: 핫팩을 흔들때, 입김을 불면서 흔들어보세요
다른 떄보다 더 빨리 따뜻해진답니다


✔ 총평
올 겨울 저희 가족들이 아주 잘 쓰고 있습니다
추울 떄마다 하나씩....
겨울 필수템입니다
떨어지면 또 살게요",생활용품,생활잡화
"설화수 퍼펙팅 쿠션 본품 15g + 리필 15g 세트, 21C1 쿨 베이지, 1세트",5,"촉촉하고 다크닝없는, 케이스 예뻐 꺼낼맛 나는 쿠션","제품명 : 설화수 퍼펙팅 쿠션 본품 15g + 리필 15g 세트
색상 : 21C1 쿨 베이지


✔ 구매이유
쿠션이 똑 떨어져버렸지 뭐에요
저는 쿠션을 엄청 자주쓰는 편이 아니라서 쿠션 바꾸는 주기가 길지 않은데요
그래서 그런지 한번 쿠션을 바꿀 때는 좋은것 쓰고 싶은 욕심이 있더라구요
그래서!! 이번에 한번 설화수 쿠션을 써보기로 마음 먹었습니당


✔ 제품 포장 및 케이스
와 진짜 로켓 럭셔리로 포장이 왔는데요
배송도 정말 빠르긴 한데 진짜 포장이....!
포장이 진짜 장난아닌에요
로켓 럭셔리로 와서 그런지 포장이 엄청 고급스럽게 되어있었어요
겉에부터 검은색 럭셔리한 상자에다가, 안에 열명 벨벳 검정 파우치가 들어있고 진짜 감동 그 잡채였습니다
연말에 정말 선물받는 느낌이 들어서 너무 좋았어요
그리고 쿠션케이스도 진짜 고급져요
파우치에서 꺼낼맛 나는 케이스입니다


✔ 색상
색은은 21C 쿨 베이지로 골랐는데, 제 피부톤에는 딱 깔끔하게 괜찮았어요
원래는 매번 쿠션/파운데이션을 좀 어두운것을 썼는데, 요즘은 화사한 화장이 그렇게 하고 싶더라구요
그래서 쿠션을 기존 22호가 아닌 21호를 골랐는데 탁월한 선택이었습니다
쿨 베이지라고 되어있는데, 제가 피부톤이 봄웜이긴 한데 살짝 쿨톤에 걸쳐져 있어서 그런지 정말 마음에 들었어요
이 21호가 딱 너무 밝지도 않고 너무 어둡지도 않은, 딱 21호 살짝 밝은 베이지톤이라고 색강하시면 될 거 같아요


✔발림성
쿠션안에 내장되어있는 퍼프로 발랐는데요
오 괜찮았어요!! 발림성은 합격입니다
내장되어 있는 퍼프가 적당히 얇으면서도 힘이 있고, 고급진 모양으로 되어있어서 좋았어요


✔ 지속력
이 쿠션을 바르고 6시간 정도 밖에 있었는데요
마음에 들었던건 시간이 지나도 예쁘게 무너진다는 점이었어요
그리고 다크닝이 없었다는점!!!
처음 발랐던 그 화사함! 까진 않더라도 기존에 쿠션이 가지고 있는 화사함은 어느정도 유지하더라구요


✔ 커버력
커버력은 막 엄청 좋다!! 이거 보단 생활 잡티를 커버하는 정도의 자연스러운 커버력입니다
그렇다고 커버력이 별로인건 아니에요
커버력은 중? 정도입니다
제가 피부가 엄청 좋은게 아니라서 사진으로 확인이 되실 수도 있을것같아요


✔총평
다크닝없고 예쁘게 무너져서 화장 및 수정화장용으로 딱인 쿠션
케이스도 예뻐서 꺼낼맛 나는 쿠션


쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다

쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",뷰티,메이크업
"SKY 다크초코칩, 1개, 1kg",5,베이킹 맛있어지는 치트키,"제품명 : SKY 다크초코칩, 1개
수량 : 1kg


✔ 구매이유
벌써 N번째 재구매입니다
평소 취미로 홈베이킹을 자주 하는데요
여러 디저트 중 초코 쿠키 만드는걸 정말 좋아하는데
그때마다 정말 요긴하게 사용하는 제품입니다
그냥 떨어지면 아묻따 삽니다
내가 너무 얘에 익숙해진게 아닐까? 하고 다른 초콜릿을 사봤는데
후 너무 크코 달고...
적당한 달기와 쿠키에서 초코가 씹히는 즐거움을 주는 초콜릿은 얘밖에 없었습니다
단종만 안되길 바라고 바랄뿐..
베이킹하시는 분들!
얘 사서 넣어서 함 해보시면 정말 맛있어용


✔용도
저는 얘를 베이킹할 때 씁니다
얘로 초코 쿠키만들어 먹으면 진짜 대대대존맛이에요
친구들에게 나눠주었더니 애들이 팔아도 될 정도라고 할 정도로
카페 퀄리티에 뒤지지 않는 맛이 나옵니다
감동 그자체...

실수로 초코 쿠키에 넣어야할 초코칩을 휘낭시에에 넣은 적이 있습니다
휘낭시에 안그래도 단데, 여기다 초코칩이라니....
당뇨 생각이 순간 들기도 하고 잔잔한 두려움이 생겼었습니다

근데 먹어보니 왠걸? 더 맛있는거에요
뭔가 기분좋은 배신감이었습니다
강아지 데려오면 내쫓을거라는 아버지 같이, 먹자마자 사랑에 빠졌답니다
맛있어용ㅁ


✔ 총평
베이킹할 때 종류 상관없이 얘만 넣으면
달고 맛있는 초코칩 베이킹이 완성됩니다
베이킹할 때 요긴하게 쓰이는 만능 초코칩으로 추천!!
양도 많고 가격도 괜찮다!
넘 달지도 않다!!
단거 싫어하는 울 아버지도 잘 드신당",홈카페,차/티백
"키토라푸드 글루텐프리 베이킹파우더, 1개, 250g",5,성분 좋은 대용량 베이킹 파우더,"제품명 : 키토라푸드 글루텐프리 베이킹파우더, 1개
용량 : 250g


✔ 구매이유
평소에 취미로 베이킹을 하는데요
마침 베이킹파우더가 똑 떨어져서 하나 구매하게 되었습니다
결론적으로는 마음에 듭니당!
여러 쿠키들을 이 베이킹파우더로 만들어봤는데요
원하는 맛과 모양이 나와서 잘 쓰고 있습니다


✔ 장점
① 성분
뭔가 성분이 좋더라구요
저당질&저탄수화물이라고 해서 먹을때마다 기분이 좋습니다
안그래도 빵에 당이랑 탄수화물 많이 들어가는데, 여기서라도 줄여야죠
글루텐, 알루미늄 프리여서도 좋았습니다
여기서라도....쿠키를 먹을 때 죄악감이 줄어드는 느낌이었습니다

베이킹파우더 이상한거 쓰면 끝에 쓴맛이 올라온다고 하더라구요
그런데 여기서는 딱히 그런 이상한 쓴맛은 올라오지않았습니다
이거로 만들어 먹으면 제가 아는 맛있는 쿠키 맛이 잘 올라와용

②가격
뭐니뭐니 해도 가격 아니겠습니까..
베이킹파우더는 막 엄청 많이 쓰는 제품이 아니어서 그런지
그냥 괜찮은거 하나 사서 주구장창 쓰는게 좋더라구요
이거는 양도 많은데 가격도 좋다??
아묻따 데려와야죠

③ 양
양이 많아서 좋았습니다...
사실 베이킹할때 베이킹파우더 한 4g???정도 쓰지 않나요??
저는 그 정도 쓰는데요
이거와 함께라면 베이킹을 약 60번정도 할 수 있다구요
양 넉넉 굿


✔ 총평
딱히 단점을 찾아볼 수 없는
성분 좋은 대용량 베이킹 파우더!

취미로 홈베이킹하시는 분들에게 아주 추천!!",식품,과자/초콜릿/시리얼
"어퓨 미네랄 립앤아이 리무버 250ml 대용량 (스윗로즈), 1개",5,자극 없고 세정력 좋은 가성비 립앤아이리무버,"제품명 : 어퓨 미네랄 립앤아이 리무버 250ml 대용량 (스윗로즈)


✔ 구매이유
N번째 재구매입니다
립앤아이 리무버가 똑 떨어져서 샀는데요
립앤아이 리무버를 다 쓸때마다 어퓨 미네랄 립앤아이 리무버를 아묻따 삽니다
스윗로즈 색상도 있고 오마린 색상도 있는데요
둘 다 써봤는데 똑같습니다
걍 둘 중에 좀 더 저렴한거 사도 되용
효과는 둘 다 똑같아요~~!
매번 립앤아이리무버 떨어질때마다 사는것도 귀찮아서
그냥 아예 대용량으로 사버리고 주구장창 쓰곤합니다
그런의미에서 이 대용량 아주 좋아용


✔ 세정력
립앤아이 리무버 고렴이부터 저렴이까지 다써봤습니다
한통에 몇만원 하는거부터 한통에 몇천원 하는거까지~~!
근데 다 쓰고 느낀 점은 별 차이 없다였습니다
요즘 기술력이 좋아졌는지 거의 모든 제품이 눈 따가움이 없고
세정력도 좋더라구요????

요것도 세정력 좋은편입니다
저는 거의 매일 눈화장을 하는편인데요
섀도우+아이라인+마스카라 등등을 하는데
밤에 이 립앤아이리무버를 솜에다가 덜어서 눈에 얹어 지우곤 하는데
잘 지워집니당!
잘 안지워지는 워터프루프 마스카라를 했을때도 얘로 잘 지웠어요

만약 잘 안지워진다??하면은 립앤아이리무버를 적신 솜을 눈에다가 올려놓는 시간을 좀 더 늘리면, 진짜 다 지워지더라구요
빨리 씻고싶은 눕고싶은 마음이 때문에 행동이 꼼꼼해지지 못해져서 그렇지
다 지워집니다!

키스미/페리페라/데자뷰/롬앤/클리오 마스카라들 다지워집니다~


✔ 가격
이거의 최대 장점은 가격입니다
진짜 착해여
세정력도 좋은데 가격도 착하다? 게다가 로켓배송이다???
굿입니다
립앤아이리무버는 여기에 정착하기로 마음 먹었답니다


✔ 눈시림 현상
개인적으로는 눈시림 현상이 없었어요!!!
제 피부가 정말 예민한 편이고, 크림하나만 잘못 써도 다 뒤집어지는 민감성인데
제 피부에는 눈시림 현상이나 따가운 현상은 없었습니다
얘만 N년째 썻는데 그런 현상은 없었어용


✔ 총평
용량도, 세정력도, 가격도 착한 립앤아이 리무버",뷰티,메이크업
