상품명,별점,리뷰 제목,리뷰 내용,카테고리1,카테고리2,userid
"Mylabel 브라더 호환 라벨테이프 Tze231, 화이트 / 블랙, 12mm",5,"가성비 훌륭하고, 글자가 또렷해요~","◈ 제품명 : Mylabel 브라더 호환 라벨테이프 Tze231, 화이트 / 블랙, 12mm
◈ 구매일자 : 2023.10.08
◈ 도착일자 : 2023.10.09


▶ 후기
브라더라벨기 PT-P300BT 블루투스 제품을 사용하고 있어요~
생활용품, 냉장고, 냉동고 음식 보관 등 다양한 곳에 라벨테이프를 붙여서 사용하고 있어요~
지퍼팩이나 비닐에 라벨테이프를 붙이고 냉동 보관할 때에는 떨어지는 경우가 있어서 그 위에 스카치테이프를 붙여주면 떨어지지 않고 잘붙어 있어서 좋아요~
항상 정품 카트리지만 사용하다가 이번에 호환 카트리지가 있다는 것을 알게되어 구매해 봤습니다.
Tze-231은 백색 배경에 블랙 글자 12mm이며,
글자가 정품 카트리지와 비교하였을 때, 상대적으로 흐릿하다는 후기를 보고 정품으로 구매해야하나, 호환 라벨테이프를 구매 해도 괜찮나를 엄청 고민했는데
구매하고 써 보니 또렷하니 잘 나옵니다.
번짐 효과도 없어요~
정품 카트리지와 비교해서 품질이 전혀 떨이지지 않아요~
정품 카트리지와 똑같이 인쇄를 하고 컷팅을 한 후 위, 아래로 쉽게 뜯을 수 있습니다.
브라더라벨기 PT-P300BT 제품 특성상 처음 인쇄 될때 앞쪽부분, 뒤쪽부분에 여백이 많이 남는 편이라 여러개 인쇄 할 때도 하나만 인쇄 할 때도 너무 아까웠는데
정품보다 저렴한 라벨테이프를 구입하게 되서 그나마 조금 위로가 되네요~
Tze231 라벨테이프 제품은 모든 브라더 라벨프린터에 사용 가능합니다.
호환 라벨테이프도 정품 못지않게 뚜렷하게 잘 나와요~
정품 카트리지가 부담이였던분께 완전 추천합니다.


▶ 제품 호환 모델
6mm~12mm 호환 모델 : PT-1100, PT-1100K, PT-12K, PT-D200, PT-1280, PT-H110PK, PT-H1100BW, PT-P300BT
6mm~18mm 호환 모델 : PT-2030, PT-1800K, PT-E300VP, D450
6mm~24mm 호환 모델 : PT-2420PC, PT-2430PC, PT-2700PC, PT-7600, PT-700, PT-P750W, D600, E550W, PT,P710BT
6mm~36mm 호환 모델 : PT-9200PC, PT-950PC, PT-9700PC, PT-9800PC

▶ 재구매 의사
글자도 또렷하고 번짐도 없어요~ 재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",문구/오피스,사무용품 전문관,cust1
"곰곰 청경채, 300g, 1개",5,아삭해요~,"제품명 : 곰곰 청경채, 300g, 1개
◈ 구매일자 : 2023.10.08
◈ 도착일자 : 2023.10.09


▶ 후기
재구매 후기입니다.
국내 산지에서 수확한 청경채라 믿고 주문합니다.
우삼겹버섯숙주찜 먹으려고 주문 했어요~
300g 총 5묶음이고 무른거 없이 속이 꽉차고 싱싱했어요~
우삼겹버섯숙주찜 먹고 남은 청경채는 청경채 무침해서 먹었는데 맛있네요~
차돌박이숙주찜, 소고기, 새조개 샤브샤브, 칼국수에 넣어서 먹어도 너무 맛있어요~
청경채는 크기가 크고 들었을 때 묵직함이 느껴져야 하며, 밑둥이 굵고 하얀 부분이 많은게 좋습니다.
또한, 잎이 크고 초록색 부분이 많고 만졌을때 부드러운게 좋아요~
곰곰 청경채 크고 싱싱해요~
적극 추천합니다.


▶ 활용
* 청경채 겉절이
1. 청경채 3~4묶음을 밑동을 자르지 않고 손으로 입 하나 하나 뜯어준 다음 볼에 청경채를 넣고 물을 가득 채운 후 5분 담가두고 흐르는 물에 한장씩 30~1분 씻기
(청경채 뿌리 부분 안쪽에 흙이 묻어 있는 경우가 있어서 세척할 때 한장씩 꼼꼼하게 씻어주세요)
2. 양파 1/2개, 당근1/2개, 청양고추 2~3개를 썰어서 넣고 다진대파 2T, 다진마늘 1T, 멸치액젓 1T, 고춧가루 1T, 양조식초 1T, 설탕 0.5T, 참기름 0.5T, 깨 넣고 버무리면 완성


▶ 보관
청경채를 씻지 않은 상태에서 지퍼팩에 키친타월을 감싸서 넣고 뿌리를 아래쪽으로 세워서 냉장 보관하며, 비닐팩에 구멍을 조금 뚫어 주면 더 오래 보관 가능합니다.


▶ 재구매 의사
싱싱해요~ 재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",헬스/건강식품,곤약/방탄커피 외,cust1
"곰곰 국내산 청양고추, 300g, 1개",5,매콤해요~,"◈ 제품명 : 곰곰 국내산 청양고추, 300g, 1개
◈ 구매일자 : 2023.10.08
◈ 도착일자 : 2023.10.09


▶ 후기
재구매 후기 입니다.
캠핑가서 LA갈비, 삼겹살, 막창구이, 닭목살구이, 된장찌개, 어묵탕 매 끼니에 같이 먹으려고 주문했어요~
우리 땅에서 자란 국내산 청양고추라 또 믿고 주문 합니다.
청양고추가 떨어지면 재구매 하는데 항상 싱싱해요~
곰곰 국내산 청양고추는 매콤하고 질기지 않아서 이젠 곰곰 국내산 청양고추만 시킵니다.
300g 양이 많지만 밀폐용기에 보관만 잘하면 오랫동안 먹을 수 있습니다.
매번 구매 하는 곰곰 국내산 청양고추는 항상 싱싱하고 매콤함도 항상 적당하고 질기지 않아요~
적극 추천 합니다.


▶ 활용
* 꼬막 양념장
1. 대파 or 쪽파, 청양고추를 송송 썰기
2. 진간장 4T, 고춧가루 2T, 다진마늘 1T, 설탕 1T, 미림 1T, 매실액 1T, 참기름 1T, 깨, 순후추 넣고 완성


* 건어물 소스
1. 마요네즈 2~3T, 간장 1T, 청양고추 넣고 섞기
-잘 비벼서 찍어 먹으면 정말 맛있어요~


▶ 보관
청양고추를 씻지 않은 상태에서 꼭지를 반만 잘라주고 밀폐용기에 키친타월을 깔고 세워서 냉장보관하면 오래 보관 가능해요~


▶ 재구매 의사
매콤하니 맛있어요~ 또 재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",싱글라이프,샐러드/시리얼,cust1
"곰곰 국내산 쑥갓, 150g, 1개",5,향긋해요~,"◈ 제품명 : 곰곰 국내산 쑥갓, 150g, 1개
◈ 구매일자 : 2023.10.08
◈ 도착일자 : 2023.10.09


▶ 후기
재구매 후기 입니다.
캠핑가서 어묵탕 먹으려고 주문 했어요~
150g도 2~3번 먹을 수 있을정도로 양이 꽤 많아요~
싱싱한 쑥갓이 왔네요~
어묵탕에는 항상 쑥갓을 넣어서 먹습니다.
그래야 훨씬 맛있어요~
싱싱해요~ 적극 추천합니다.


▶ 활용
* 어묵탕
1. 멸치 5마리, 다시마 1장, 건새우, 양파 반개, 대파(흰대) 1개, 표고버섯 1개, 꽃게다리(있으면 더 맛있어요)넣고 10분 정도 끓여 육수 만들기
2. 육수용 재료를 건져내고 어묵, 무 넣기
3. 진간장(간보며 넣기) 2T, 쯔유 2T, 통마늘 or 다진마늘1T, 소금(간보며 넣기), 후추 넣기
4. 대파, 쑥갓, 청양고추 넣고 끓이기
- 국물을 깔끔하게 먹고 싶으면 다진마늘 보다 통마늘이 좋아요~

* 꽃게탕
1. 멸치 5마리, 다시마 1장, 건새우 넣고 10분 끓여서 육수 만들기
2. 육수용 재료 건져내고 꽃게, 무 넣기
3. 된장 2T, 고추장 1T, 고춧가루 1T, 다진마늘 1T, 다진생강 1T or 생강가루 소량, 참치액 1T, 국간장 1T, 맛술 2T, 소금(간보며 넣기)
4. 두부, 양파, 대파, 애호박, 쑥갓, 청양고추 넣고 끓이기


▶ 보관
밀폐용기에 물 적신 키친타월을 깔고 쑥갓을 넣고 다시 그 위에 물 적신 키친타워을 깔고 보관하면 오래 보관할 수 있어요~
밀폐용기 대신 지퍼팩에 보관해도 괜찮아요~

▶ 재구매 의사
재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",식품,장/소스/드레싱/식초,cust1
"큐레스 3중 방습 국산 참나무 장작, 20kg, 1개",5,100% 국산 참나무 장작~,"◈ 제품명 : 큐레스 3중 방습 국산 참나무장작 20kg
◈ 구매일자 : 2023.10.06
◈ 도착일자 : 2023.10.07

▶ 제품 요약
1. 10프로 이하의 함수율
2. 3중 방습 패킹
3. 100% 국산 참나무 100도이상의 고온처리
4. 녹이 나지 않는 아연 도금건조망에 보관


▶ 후기
캠핑장에서 사용하려고 구매했어요~
큐레스 참나무 장작은 국산 참나무이고, 제품관리가 믿음이가서 믿고 구매했어요~
저는 장작 구매할때 가장 중요하게 보는 것이 함수율인데 큐레스 참나무 장작은 10프로 이하로 매우 좋네요~

장작이 습기를 머금고 있으면 야외에서 말리면 불붙이는데 크게 문제는 없지만 장작에 곰팡이가 생기는 경우가 종종 있습니다.

이번에 구매한 큐레스 참나무 장작은 곰팡이가 하나도 없었고, 장작 상태가 너무 좋더라구요
저는 이 부분이 너무 만족스러웠어요~
그리고 박스안에 방습제와 비닐패킹으로 포장이 되어 있는 것을 보고 감탄했네요~^^

장작의 길이는 약 30cm 정도이고 두께는 일반 캠핑장 장작이랑 비슷한데 두께가 일정치는 않아요~

캠핑장에서 사용하는데 불도 너무 잘 붙고 연기도 많이 안나서 편안하게 불도 때고 불멍도 했어요~
같이 캠핑 간 지인이 가져온 장작은 연기가 많이 나서 불 붙이는데 애먹으면서 제가 가져온 큐레스 참나무 장작을 부러워 했어요~
적극 추천 합니다.


▶ 재구매 의사
재구매의사 100%입니다~^^


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",스포츠/레저,캠핑전문관,cust1
"곰곰 세척 사과, 2kg박스, 1박스",5,달콤하고 맛있어요~,"◈ 제품명 : 곰곰 세척 사과, 2kg박스, 1박스
◈ 구매일자 : 2023.10.06
◈ 도착일자 : 2023.10.07


▶ 후기
재구매 후기 입니다.
매일 아침 사과양배추 당근 주스를 마셔서 주문 했어요~
아침에 먹는 사과는 ""금""이라고해서 사과 떨어지기 전에 구매해서 매일 꼭 챙겨 먹습니다.
이번 사과도 역시 상태 아주 좋습니다.
2kg 7입~12입 들어 있다고 되어 있고 이번 사과는 10입 들어 있어요~
하나씩 개별 포장 되어 있어서 사용하기 아주 좋아요~
사과 상태도 항상 좋고 맛도 좋고 곰곰 세척 사과 추천 합니다.


▶ 장점
1. 당도 12Brix 이상의 달콤한 사과만 엄선
2. 개별 포장
3. 세척 사과


▶ 단점
사과 품질이 좋아서 꾸준히 재구매 하고 있지만 가격대가 전보다 많이 올라서 아쉬워요~


▶ 세척법
사과는 베이킹 소다로 하나씩 닦고 세척 해서 껍질째 먹는 게 좋아요~
곰곰 세척 사과도 세척, 개별 포장 사과이지만 세척해서 먹어야 합니다.


▶ 보관
사과는 에틸렌 가스를 내보내서 다른 식재료를 상하게 할 수도 있어서 다른 과일을 같이 두지 않는 게 좋아요.
사과를 베이킹 소다로 세척 후 하나씩 랩으로 싸서 냉장 보관하면 됩니다.


▶ 재구매 의사
적당히 달고 맛있어요~ 재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",식품,과일,cust1
"신지모루 갤럭시워치 풀커버 자가복원 TPU 스마트워치 보호필름 3p, 갤럭시워치 6/5/4 40mm",5,얇고 터치감 좋아요~,"◈ 제품명 : 신지모루 갤럭시워치 풀커버 자가복원 TPU 스마트워치 보호필름 3p, 갤럭시워치 6/5/4 40mm
◈ 구매일자 : 2023.10.04
◈ 도착일자 : 2023.10.05


▶ 제품 요약
1. 풀커버 자가복원 TPU필름으로 24시간 내 생활 흠집 복원
2. 강화유리가 아닌 우레탄 재질의 액정보호필름
3. 화면과 1대1로 대응하는 디자인으로 설계되어 들뜸이 없는 풀커버 보호력
4. 얇게 밀착되는 커버력으로 터치감이 뛰어남


▶ 후기
갤럭시 워치6 40mm를 구입하였는데 액정보호필름 알아보다가
강화유리가 아닌 우레탄 재질로 제작된 자가복원 TPU필름으로 구매했어요~
워치6 클래식은 배젤이 있어 강화유리 액정보호필름을 부착해도 이질감이 없을 것 같은데
워치6 40mm는 배젤이 없어서 강화유리보다 얇은 신지모루 자가복원 TPU 액정보호필름으로 선택했어요~

제품 구성품으로는 전면보호필름, 원형부착 보조트, WET 클리너, 먼지제거 스티커, 클리너 천이 각 3개씩과 보호필름 부착시 사용하는 슬라이더 1개가 동봉되어 있어요~

▶ 부착방법
1. 원형 부착 보조틀을 갤럭시 워치6 후면에 부착하고 반대편 이형지를 제거하고, 평평한 바닥에 부착해서 워치를 고정시킵니다. 보조틀에 붙어있는 테이프는 제거할때 자국남지는 않아요~
2. 전면보호필름에 1~4번까지 숫자가 적혀있는데 순서대로 제거하시면서 부착하면 됩니다~


▶ 재구매 의사
액정보호필름이 얇아서 부착했을때 워치와 이질감도 거의 없고, 투과율도 좋아서 추후에 재구매의사 100%입니다~^^


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",가전디지털,스마트워치/밴드,cust1
"히키스 전자레인지 냉장고 돔형 푸드커버, 베이지, 26cm",5,위생적이고 크기 딱 좋아요~,"◈ 제품명 : 히키스 전자레인지 냉장고 돔형 푸드커버, 베이지, 26cm
◈ 구매일자 : 2023.09.28
◈ 도착일자 : 2023.09.29


▶ 후기
전자레인지에 음식 데울 때 양념이 전자레인지 내부에 튀는걸 방지하기 위해서 샀어요~
기존 사용하던게 너무 작아서 큰거를 찾던 중 구매 하게 됐습니다.
음식 그릇이 커도 그냥 작은 푸드커버를 대충 위에만 가리고 사용 했었는데
가리지 못한 곳에서 전자레인지에 튀니깐 전자레인지 닦는게 더 일이더라고요~

크기는 안쪽 길이는 26cm, 옆 테두리까지 전체는 27cm 이며,
높이는 위 실리콘 손잡이 포함 11cm 나옵니다.
9번째 사진은 집에 있는 27cm 그릇이며 딱 맞고,
10번째 사진은 다이* 에서 구매한 전자레인지 받침이고,
손잡이 까지 26cm인데 하키스 돔형 푸드커버에는 좀 작아요~

아래 전자레인지 받침도 맞는 사이즈로 같이 팔았으면 세트로 바로 구매 했을 거 같아요~
그 점이 좀 아쉬워요~

두개의 증기배출구가 있어서 조리 시 수분 증발을 막아주어 음식이 마르지 않고 골고루 데울 수 있습니다.
실리콘 손잡이가 있어서 뜨겁지 않고 탈부착이 가능해서 세척도 편리하고 위생적이예요~
전자레인지 사용 후 푸드커버 안에 튀긴 음식 자국도 잘 지워져요~
남은음식 보관하기도 좋아요~
가볍고 단단하고 사용하기 편해요~
적극 추천 합니다.


▶ 장점
1. 두개의 증기 배출구 설계
2. 실리콘 손잡이 탈부착 가능


▶ 재구매 의사
재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",주방용품,주방잡화,cust1
"도시바 리튬 코인 건전지 3V CR2032, 1개, 5개입",5,가성비 좋은 코인 건전지~,"◈ 제품명 : 도시바 리튬 코인 건전지 3V CR2032, 1개, 5개입
◈ 구매일자 : 2023.09.16
◈ 도착일자 : 2023.09.17


▶ 제품요약
강하고 오래가는 제품이라 믿고 주문 했습니다.
또한 장기보존이 가능하여 오래두어도 변함없이 사용할 수 있다고 하니 더욱 좋네요~^^
CR2032에서 20은 건전지의 지름이고, 32는 두께의 1/10(단위 mm) 이에요~
전압은 3.0V로 리튬코인 건전지입니다.


▶ 후기
낚시용 캡랜턴이랑 카메라 블루투스 무선 리모컨에 사용하려고 주문 했어요~
낚시용의 경우 좋은 건전지가 아니면 랜턴의 밝기가 금방 어두워지거나 하는데
이번에 구입한 도시바 CR2032 리튬건전지의 경우에는 오랜시간동안 밝게 잘 나와서
낚시하면서 너무 편했어요~
랜턴 이외에도 블루투스 리모컨에도 사용하고, 전자 체중계와 체온계에서 사용하는데
만족스럽게 잘 이용중이에요~^^

참고로 코인형 리튬건전지 구매시에는 (+) 면에 기재되어 있는 번호를 꼭 확인하셔야 합니다
코인 건전지 모양이 비슷해서 헷갈릴 수가 있더라구요~~


▶ 장점
강하고 오래가면서, 장기보존도 가능합니다.
가성비가 훌륭합니다.


▶ 재구매 의사
제품도 믿을 수 있고, 실사용해보니 너무 만족스러워서 추후 재구매 의사 100%에요~~^^


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",홈인테리어,셀프인테리어,cust1
"도블레 칼집 강한 시그니처 도마 2종 + 스마트 거치대 세트, 1세트, 베이비핑크 + 라이트그레이 + 스마트 거치대",5,친환경 도마~,"◈ 제품명 : 도블레 칼집 강한 시그니처 도마 2종 + 스마트 거치대 세트, 1세트, 베이비핑크 + 라이트그레이 + 스마트 거치대


▶ 후기
베이비 핑크, 라이트 그레이 색 조합도 너무 이쁘네요~
화면 그대로 예요~
색별로 육류, 생선류와 과일, 채소류로 식재료 별로 사용하기 좋아요~
가로는 34.8cm, 세로는 23.8cm 입니다.
건조대 사이 한칸은 0.8cm정도 나오며, 도마 3개를 넣을 수 있어요~
친환경 소재이며, 유연성이 좋아서 부드럽게 휘어지기 때문에 재료를 넣을때 도마를 구부려서 흘리지 않고 편하게 넣을 수 있어서 좋아요~
고리가 있어서 설거지 하고 건조 할 때도 좋고 국물 흐름 방지 홈이 있어서 좋아요~
도마 전용 건조대에 스마트폰을 거치할 수도 있고 거치가 아주 잘 됩니다.

TPU는 열가소성 폴리우레탄을 뜻하는데 우레탄 소재 중 하나로 플라스틱으로 쉽게 늘어나는 고무와 단단한 플라스틱의 특징과 장점을 모두 가신 신소재 입니다.
TPU 도마는 유연성이 좋으며 회복성도 뛰어나도 내열성이 우수 합니다.
집에서 사용하기도 좋고 캠핑용으로 사용하기 아주 좋을 거 같아요~
적극 추천합니다.


▶ 장점
1. 스크래치 방지
2. 부드러운 유연성과 내열성, 회복성이 좋은 TPU 소재
3. 천연 재료를 사용한 친환경 소재
4. 향균 도마


▶ 세척법
베이킹소다 또는 식초를 뿌려서 세척하면 깨끗하게 사용 할 수 있어요~


▶ 살균법
끓는 물을 부어서 살균하거나 전자레인지에 10초 돌려서 살균 하면 됩니다. (10초 준수)
도블레 도마는 향균 알갱이들이 계속 활동하기 때문에 살균이 안해도 무관 하다고 합니다.
내열온도 150도로 식기세척기도 가능 합니다.

▶ 내열 온도
-20도~150도


▶ 재구매 의사
재구매 의사 있습니다.

쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",결혼준비,주방용품,cust1
"닥터지 브라이트닝 필링젤 120g + 60g x 2p, 1세트",5,무향이고 자극적이지 않아요~,"◈ 제품명 : 닥터지 브라이트닝 필링젤 120g + 60g x 2p, 1세트
◈ 구매일자 : 2023.09.28
◈ 도착일자 : 2023.09.29
◈ 유통기한 : 2026.05.23


▶ 후기
스킨, 로션, 크림, 선크림 전부 다 닥터지 제품을 쓰고 있습니다.
필링제는 타 제품을 사용 하고 있던게 있어서 계속 사용하다가 물기 없이 사용하는 제품이고 리뉴얼 되면서 좀 더 자극적이여서 어디 제품으로 바꿔 볼까 하다가 스킨케어로 잘 쓰고 있는 닥터지 제품을 찾아보고 사봤어요~
제가 쓰던 제품보다 덜 자극적이여서 좋아요~
각질제거 하는데 발림도 아주 부드럽고 저자극입니다.
필링젤을 하고 나면 화장도 더 잘 받아요~
코에 블랙헤드 제거도 아주 잘 됩니다.
그리고 제가 향에 아주 민감한 편인데 무향이여서도 좋습니다.
앞으로는 닥터지 브라이트닝 필링젤로만 사용하게 될꺼 같아요~


▶ 장점
1. 수분을 머금은 자연유래 셀룰로오스가 함유 되어있는 부드러운 제형
2. 시각 장애인을 위한 점자 표시


▶ 사용 방법
세 안 후 피부가 젖은 상태에서 적당히 덜어 눈, 입주변을 제외한 얼굴 전제에 골고루 펴 바른 다음 손가락으로 부드럽게 마사지한 후 미온수로 씻어주면 됩니다.


▶ 재구매 의사
꾸준히 사용할 거 같아요~ 재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",뷰티,클렌징/필링,cust1
"곰곰 국내산 흙대파, 1kg, 1개",5,질기지 않아요~,"◈ 제품명 : 곰곰 국내산 흙대파, 1kg, 1개
◈ 구매일자 : 2023.09.28
◈ 도착일자 : 2023.09.29


▶ 후기
재구매 후기 입니다.
대파는 곧게 뻗은 대파가 좋은데 이번 대파는 많이 휘어 있네요~
전체적으로 얇은 편이며 흰대 부분이 꺽인 대파도 꽤 있었어요~
못 먹을 정도의 상태는 아니여서 꺽인 부분은 버리고 손질해서 먹습니다.
대파가 질기지는 않았어요~
밀폐용기에 보관하면 보관 기간도 길어지고 버리는거 하나 없이 알차게 사용하고 있어요~
흰대와 푸른 잎부분은 수분의 함량 차이가 있어서 구분해서 보관하시는게 좋아요~
신선한 대파를 고르는 방법은 푸른 잎 부분이 구부러지지 않고 진한녹색이 곱게 펴지고 푸른잎이 부드러워야하며 흰대와 푸른잎 경계가 정확한 대파를 고르시면 됩니다.

10번째 사진은 10월 9일 촬영한 사진입니다.
뿌리를 댕강 자르지 않고 살짝 살려서 자르면 대파가 금방 무르지 않고 싱싱하게 더 오래 먹을 수 있어요~


▶ 활용
* 파절이
1. 대파 3대를 채 썰고 물에 담궈 매운맛을 뺀다.
2. 간장 1T, 설탕 1T, 소금 약간, 고춧가루 4-5T, 양조식초 5T, 참기름 1T 넣고 버무린다.
-대파 양에 따라 설탕, 고춧가루, 식초는 조절하시면 됩니다.


▶ 보관
1. 대파를 씻지 않기 (안 씻고 보관해야 오래 보관 할 수 있어요)
2. 뿌리를 댕강 자르지 말고 뿌리를 살짝 남기고 잘라서 겉껍질 제거하기 (뿌리부분을 다 잘라버리면 수분이 날라가요)
3. 흰 대와 푸른 잎의 경계 부분을 잘라줍니다.
4. 밀폐용기에 키친타월을 깔고 흰대, 푸른 잎은 수분 함량이 다르기 때문에 섞이지 않게 보관 해주세요~
5. 그리고 위에 다시 키친타월을 깔아줍니다.


▶ 재구매의사
또 재구매의사 있습니다~


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",식품,곤약/방탄커피 외,cust1
"곰곰 GAP 깻잎, 60g, 1개",5,깻잎 향이 너무 좋아요~,"◈ 제품명 : 곰곰 GAP 깻잎, 60g, 1개
◈ 구매일자 : 2023.09.28
◈ 도착일자 : 2023.09.29


▶ 후기
재구매 후기 입니다.
우삼겹, 삼겹살에 쌈 싸 먹으려고 구매 했습니다.
양도 많고 상태 아주 좋고 싱싱해요~
작은것도 있고 큰것도 있고 다양한 크기의 깻잎이 있습니다.
고기에 싸서 먹고 남은 깻잎은 다음날 제육볶음에도 싸서 먹었어요~
깻잎 향을 너무 좋아해서 상추 쌈보다는 깻잎 쌈이 더 맜있어요~
깻잎을 아래 보관법에 따라 보관하면 한달도 보관이 가능해서 버리는거 없이 알뜰하게 다양한 요리에 챙겨 먹습니다.
추천합니다~


▶ 장점
농산물 우수관리(GAP) 인증을 받은 제품


▶ 활용
* 깻잎지(깻잎무침)
1. 깻잎 20장 정도, 채썬 양파 1개, 채썬 당근 1/3개, 청양고추 1~2개, 대파 or 쪽파 송송 썰어서 준비하기
2. 진간장 3T, 멸치액젓 2T, 고춧가루 3T, 다진마늘 1T, 설탕 2T, 매실액 1T, 물 60~70ml, 깨 넣고 양념장 만들기
3. 밀폐용기에 깻잎 한장씩 넣으면서 양념장 바르면 완성


▶ 세척법
깻잎에 상한 꼭지 부분은 잘라 내고 깻잎을 볼에 넣어 물에 5분 정도 담가 둔 다음 흐르는 물에 앞뒤로 한장씩 30초~1분 세척해야 합니다.

식품의약품안전처에서 세척법에 따른 채소 잔류농약 제거율을 비교한 결과 수돗물, 식초물, 소금물 등 잔류농약 제거율에서 거의 차이가 없다고 합니다.
식초물이나 소금물을 넣으면 오히려 채소나 과일이 가진 영양소가 파괴될 수 있고,
남은 잔류 농약이 있더라도 섭취 후 채외로 배출 되는 수준이기 때문에 전혀 걱정하지 않아도 된다고 합니다.


▶ 보관
1. 깻잎을 한장 한장 씻어서 잘 건조하기
2. 남은 물기는 키친타월로 제거하기
3. 꼭지를 끝 부분만 자르고 보관 통에 꼭지가 반 잠길 정도의 물을 넣거나 키친타월을 적셔 아래 깔고 깻잎 꼭지가 물에 닿을 정도로 사진과 같이 세워서 보관하기
- 이렇게 보관하면 한 달 이상도 싱싱하게 보관 가능합니다.


▶ 재구매 의사
또 재구매 의사 있습니다.


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",헬스/건강식품,곤약/방탄커피 외,cust1
"테이프 접착식형 서류봉투 245 x 330 mm, A4, 100개",5,사용하기 편한 접착식 봉투~,"◈ 제품명 : 테이프 접착식형 서류봉투 245 x 330 mm, A4, 100개
◈ 구매일자 : 2023.09.23
◈ 도착일자 : 2023.09.24


▶ 후기
재구매 후기 입니다.
회사에서 쓰려고 1200매 추가 주문 했어요~
조금 얇은 편이고 색상은 밝은 베이지색이며, 크기는 가로 24.5cm X 세로 37.5cm(봉투 닫기 전) 나옵니다.
양면테이프 접착식형이라 편합니다.
접착력도 좋아요~
다만, 아래쪽 양쪽 끝 접착이 여전히 약해서 조금 아쉽네요~
테이프나 풀로 한번 더 붙여줘야 할꺼 같아요~
A4 사이즈는 넉넉하게 들어갈 수 있는 봉투 입니다~
접착식형인데 비싸지 않고 가격대비 만족 하고 추천합니다.


▶ 장점
접착식형이라 편리하고 잘 붙어요~


▶ 단점
아래쪽 접착이 약함~


▶ 재구매의사
대체적으로 만족하고 재구매 의사 있습니다~


제 돈으로 제품을 구매하고 사용하고 리뷰를 작성했습니다.
제 리뷰가 구매하시는데 조금이라도 도움이 되었으면 좋겠습니다.",문구/오피스,카드/엽서/봉투,cust1
